raw_text,station_id,issue_time,bulletin_time,valid_time_from,valid_time_to,remarks,latitude,longitude,elevation_m,fcst_time_from_1,fcst_time_to_1,change_indicator_1,time_becoming,probability_1,wind_dir_degrees_1,wind_speed_kt_1,wind_gust_kt_1,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_1,altim_in_hg,vert_vis_ft,wx_string_1,not_decoded,sky_cover_1,cloud_base_ft_agl_1,cloud_type_1,sky_cover_2,cloud_base_ft_agl_2,cloud_type_2,sky_cover_3,cloud_base_ft_agl_3,cloud_type_3,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_2,fcst_time_to_2,change_indicator_2,time_becoming,probability_2,wind_dir_degrees_2,wind_speed_kt_2,wind_gust_kt_2,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_2,altim_in_hg,vert_vis_ft,wx_string_2,not_decoded,sky_cover_4,cloud_base_ft_agl_4,cloud_type_4,sky_cover_5,cloud_base_ft_agl_5,cloud_type_5,sky_cover_6,cloud_base_ft_agl_6,cloud_type_6,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_3,fcst_time_to_3,change_indicator_3,time_becoming,probability_3,wind_dir_degrees_3,wind_speed_kt_3,wind_gust_kt_3,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_3,altim_in_hg,vert_vis_ft,wx_string_3,not_decoded,sky_cover_7,cloud_base_ft_agl_7,cloud_type_7,sky_cover_8,cloud_base_ft_agl_8,cloud_type_8,sky_cover_9,cloud_base_ft_agl_9,cloud_type_9,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_4,fcst_time_to_4,change_indicator_4,time_becoming,probability_4,wind_dir_degrees_4,wind_speed_kt_4,wind_gust_kt_4,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_4,altim_in_hg,vert_vis_ft,wx_string_4,not_decoded,sky_cover_10,cloud_base_ft_agl_10,cloud_type_10,sky_cover_11,cloud_base_ft_agl_11,cloud_type_11,sky_cover_12,cloud_base_ft_agl_12,cloud_type_12,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_5,fcst_time_to_5,change_indicator_5,time_becoming,probability_5,wind_dir_degrees_5,wind_speed_kt_5,wind_gust_kt_5,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_5,altim_in_hg,vert_vis_ft,wx_string_5,not_decoded,sky_cover_13,cloud_base_ft_agl_13,cloud_type_13,sky_cover_14,cloud_base_ft_agl_14,cloud_type_14,sky_cover_15,cloud_base_ft_agl_15,cloud_type_15,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_6,fcst_time_to_6,change_indicator_6,time_becoming,probability_6,wind_dir_degrees_6,wind_speed_kt_6,wind_gust_kt_6,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_6,altim_in_hg,vert_vis_ft,wx_string_6,not_decoded,sky_cover_16,cloud_base_ft_agl_16,cloud_type_16,sky_cover_17,cloud_base_ft_agl_17,cloud_type_17,sky_cover_18,cloud_base_ft_agl_18,cloud_type_18,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_7,fcst_time_to_7,change_indicator_7,time_becoming,probability_7,wind_dir_degrees_7,wind_speed_kt_7,wind_gust_kt_7,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_7,altim_in_hg,vert_vis_ft,wx_string_7,not_decoded,sky_cover_19,cloud_base_ft_agl_19,cloud_type_19,sky_cover_20,cloud_base_ft_agl_20,cloud_type_20,sky_cover_21,cloud_base_ft_agl_21,cloud_type_21,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_8,fcst_time_to_8,change_indicator_8,time_becoming,probability_8,wind_dir_degrees_8,wind_speed_kt_8,wind_gust_kt_8,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_8,altim_in_hg,vert_vis_ft,wx_string_8,not_decoded,sky_cover_22,cloud_base_ft_agl_22,cloud_type_22,sky_cover_23,cloud_base_ft_agl_23,cloud_type_23,sky_cover_24,cloud_base_ft_agl_24,cloud_type_24,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c
TAF UUOB 050753Z 0509/0518 33006MPS 9999 BKN030 TX25/0512Z TN17/0516Z,UUOB,2025-07-05T07:53:00Z,2025-07-05T07:53:00Z,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,50.644,36.59,218,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,330,12,,,,,6+,,,,,BKN,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAVL 050753Z 0508/0606 00000KT P6SM SCT050 TEMPO 0508/0510 5SM BR FM051500 10005KT P6SM SKC FM051900 08006KT P6SM FEW060 SCT240 FM060200 VRB03KT P6SM FEW210,KAVL,2025-07-05T07:53:00Z,2025-07-05T07:53:00Z,2025-07-05T08:00:00Z,2025-07-06T06:00:00Z,AMD,35.4318,-82.5379,646,2025-07-05T08:00:00Z,2025-07-05T15:00:00Z,,,,0,0,,,,,6+,,,,,SCT,5000,,,,,,,,,,,,,,,,,,,,2025-07-05T08:00:00Z,2025-07-05T10:00:00Z,TEMPO,,,,,,,,,5,,,BR,,,,,,,,,,,,,,,,,,,,,,,2025-07-05T15:00:00Z,2025-07-05T19:00:00Z,FM,,,100,5,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T19:00:00Z,2025-07-06T02:00:00Z,FM,,,80,6,,,,,6+,,,,,FEW,6000,,SCT,24000,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T06:00:00Z,FM,,,VRB,3,,,,,6+,,,,,FEW,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UWKD 050753Z 0509/0609 30005MPS 9999 SCT020 TX22/0512Z TN11/0601Z TEMPO 0512/0521 3100 -SHRA BKN025CB,UWKD,2025-07-05T07:53:00Z,2025-07-05T07:53:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,55.61,49.275,114,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,,,300,10,,,,,6+,,,,,SCT,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T21:00:00Z,TEMPO,,,,,,,,,1.93,,,-SHRA,,BKN,2500,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UUDD 050753Z 0509/0615 29005MPS 9999 SCT030 TX22/0512Z TN09/0601Z TEMPO 0509/0516 31009G16MPS BECMG 0518/0521 23003MPS TEMPO 0605/0615 26008MPS,UUDD,2025-07-05T07:53:00Z,2025-07-05T07:53:00Z,2025-07-05T09:00:00Z,2025-07-06T15:00:00Z,,55.409,37.906,165,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,290,10,,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T16:00:00Z,TEMPO,,,310,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T15:00:00Z,BECMG,1751749200,,230,6,,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,2025-07-06T05:00:00Z,2025-07-06T15:00:00Z,TEMPO,,,260,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF ULLI 050753Z 0509/0609 28005G10MPS 6000 BKN016 TEMPO 0509/0512 23007G13MPS 3100 -TSRA BKN016CB BECMG 0515/0518 20003MPS TEMPO 0521/0609 3100 -RA BR BKN006,ULLI,2025-07-05T07:53:00Z,2025-07-05T07:53:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,59.798,30.267,25,2025-07-05T09:00:00Z,2025-07-05T15:00:00Z,,,,280,10,19,,,,3.73,,,,,BKN,1600,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T12:00:00Z,TEMPO,,,230,14,25,,,,1.93,,,-TSRA,,BKN,1600,CB,,,,,,,,,,,,,,,,,,,2025-07-05T15:00:00Z,2025-07-06T09:00:00Z,BECMG,1751738400,,200,6,,,,,3.73,,,,,BKN,1600,,,,,,,,,,,,,,,,,,,,2025-07-05T21:00:00Z,2025-07-06T09:00:00Z,TEMPO,,,,,,,,,1.93,,,-RA BR,,BKN,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UWLL 050753Z 0509/0609 34003G10MPS 9999 BKN020 TX24/0511Z TN12/0601Z TEMPO 0509/0518 VRB19MPS 0300 +TSRAGR SQ BKN004 BKN016CB BECMG 0518/0520 27003G08MPS,UWLL,2025-07-05T07:53:00Z,2025-07-05T07:53:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,54.274,48.236,119,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,340,6,19,,,,6+,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,TEMPO,,,VRB,37,,,,,0.19,,,+TSRA +TSGR SQ,,BKN,400,,BKN,1600,CB,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T09:00:00Z,BECMG,1751745600,,270,6,16,,,,6+,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UUOK 050752Z 0509/0518 33006MPS 9999 BKN020 TX24/0512Z TN20/0518Z,UUOK,2025-07-05T07:52:00Z,2025-07-05T07:52:00Z,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,51.751,36.297,203,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,330,12,,,,,6+,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF USCM 050752Z 0509/0518 30005G14MPS 9999 SCT030 TEMPO 0509/0518 31010G16MPS SCT020CB,USCM,2025-07-05T07:52:00Z,2025-07-05T07:52:00Z,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,53.393,58.756,425,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,300,10,27,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,TEMPO,,,310,19,31,,,,,,,,,SCT,2000,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF USCC 050752Z 0509/0609 30005G13MPS 9999 SCT030 TEMPO 0509/0516 30010G16MPS SCT020CB BECMG 0516/0518 26003G12MPS BKN020CB TEMPO 0600/0609 31008G14MPS -TSRA,USCC,2025-07-05T07:52:00Z,2025-07-05T07:52:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,55.306,61.503,227,2025-07-05T09:00:00Z,2025-07-05T16:00:00Z,,,,300,10,25,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T16:00:00Z,TEMPO,,,300,19,31,,,,,,,,,SCT,2000,CB,,,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-06T09:00:00Z,BECMG,1751738400,,260,6,23,,,,6+,,,,,BKN,2000,CB,,,,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T09:00:00Z,TEMPO,,,310,16,27,,,,,,,-TSRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UWSG 050751Z 0509/0518 23003G09MPS 9999 SCT020 SCT030CB TX29/0512Z TN18/0518Z TEMPO 0509/0518 27008G16MPS 2100 -TSRAGR FEW006 SCT010 BKN020CB,UWSG,2025-07-05T07:51:00Z,2025-07-05T07:51:00Z,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,51.713,46.171,31,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,230,6,17,,,,6+,,,,,SCT,2000,,SCT,3000,CB,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,TEMPO,,,270,16,31,,,,1.3,,,-TSRA -TSGR,,FEW,600,,SCT,1000,,BKN,2000,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UWKE 050751Z 0509/0609 25003G10MPS 9999 BKN030 TEMPO 0509/0518 29008G14MPS 2100 -TSRA BKN005 BKN016CB TEMPO 0518/0524 33003G08MPS 6000 -SHRA BKN016CB,UWKE,2025-07-05T07:51:00Z,2025-07-05T07:51:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,55.566,52.1,193,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,,,250,6,19,,,,6+,,,,,BKN,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,TEMPO,,,290,16,27,,,,1.3,,,-TSRA,,BKN,500,,BKN,1600,CB,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T00:00:00Z,TEMPO,,,330,6,16,,,,3.73,,,-SHRA,,BKN,1600,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UUEE 050751Z 0509/0609 28006MPS 9999 SCT035 TX21/0512Z TN11/0523Z TEMPO 0509/0516 30009G16MPS BECMG 0518/0521 22003MPS,UUEE,2025-07-05T07:51:00Z,2025-07-05T07:51:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,55.973,37.415,186,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,280,12,,,,,6+,,,,,SCT,3500,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T16:00:00Z,TEMPO,,,300,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-05T18:00:00Z,2025-07-06T09:00:00Z,BECMG,1751749200,,220,6,,,,,6+,,,,,SCT,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UHHH 050751Z 0509/0615 15003MPS 9999 -SHRA FEW010 SCT020CB TEMPO 0509/0514 VRB08MPS 1000 TSRA FEW005 BKN016CB FM051400 19006MPS 3100 -SHRA FEW005 BKN016CB TEMPO 0514/0523 VRB15MPS 0400 +TSRA BKN002 BKN016CB FM060000 27008G13MPS 9999 FEW010 SCT020CB TEMPO 0600/0609 27012G18MPS,UHHH,2025-07-05T07:51:00Z,2025-07-05T07:51:00Z,2025-07-05T09:00:00Z,2025-07-06T15:00:00Z,,48.527,135.184,74,2025-07-05T09:00:00Z,2025-07-05T14:00:00Z,,,,150,6,,,,,6+,,,-SHRA,,FEW,1000,,SCT,2000,CB,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T14:00:00Z,TEMPO,,,VRB,16,,,,,0.62,,,TSRA,,FEW,500,,BKN,1600,CB,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-06T00:00:00Z,FM,,,190,12,,,,,1.93,,,-SHRA,,FEW,500,,BKN,1600,CB,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T23:00:00Z,TEMPO,,,VRB,29,,,,,0.25,,,+TSRA,,BKN,200,,BKN,1600,CB,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T15:00:00Z,FM,,,270,16,25,,,,6+,,,,,FEW,1000,,SCT,2000,CB,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T09:00:00Z,TEMPO,,,270,23,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UHMA 050751Z 0509/0609 15003G08MPS 9999 BKN030 TEMPO 0509/0609 11008G13MPS 0500 SHRA FG BKN002 BKN015CB,UHMA,2025-07-05T07:51:00Z,2025-07-05T07:51:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,64.733,177.739,53,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,,,150,6,16,,,,6+,,,,,BKN,3000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,TEMPO,,,110,16,25,,,,0.31,,,SHRA FG,,BKN,200,,BKN,1500,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UUBC 050750Z 0509/0518 33005G11MPS 9999 SCT030 TX21/0512Z TN14/0518Z,UUBC,2025-07-05T07:50:00Z,2025-07-05T07:50:00Z,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,54.552,36.37,198,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,330,10,21,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UWPS 050750Z 0509/0518 36003G09MPS 8000 BKN020 TX21/0512Z TN16/0518Z TEMPO 0509/0515 34008G15MPS 3500 -TSRA BKN011CB,UWPS,2025-07-05T07:50:00Z,2025-07-05T07:50:00Z,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,54.116,45.203,206,2025-07-05T09:00:00Z,2025-07-05T18:00:00Z,,,,360,6,17,,,,4.97,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T15:00:00Z,TEMPO,,,340,16,29,,,,2.17,,,-TSRA,,BKN,1100,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF CYGQ 050750Z 0508/0520 22005KT P6SM BKN120 TEMPO 0508/0512 P6SM -SHRA BKN012 BKN120 FM051200 22008KT P6SM -SHRA BKN012 BKN060 TEMPO 0512/0520 P6SM NSW SCT012 BKN060 PROB30 0512/0516 2SM TSRA BR BKN008 OVC040CB RMK FCST BASED ON AUTO OBS. NXT FCST BY 051400Z,CYGQ,2025-07-05T07:50:00Z,2025-07-05T07:50:00Z,2025-07-05T08:00:00Z,2025-07-05T20:00:00Z,RMK FCST BASED ON AUTO OBS. NXT FCST BY 051400Z,49.781,-86.932,340,2025-07-05T08:00:00Z,2025-07-05T12:00:00Z,,,,220,5,,,,,6+,,,,,BKN,12000,,,,,,,,,,,,,,,,,,,,2025-07-05T08:00:00Z,2025-07-05T12:00:00Z,TEMPO,,,,,,,,,6+,,,-SHRA,,BKN,1200,,BKN,12000,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T20:00:00Z,FM,,,220,8,,,,,6+,,,-SHRA,,BKN,1200,,BKN,6000,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T20:00:00Z,TEMPO,,,,,,,,,6+,,,NSW,,SCT,1200,,BKN,6000,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T16:00:00Z,PROB,,30,,,,,,,2,,,TSRA BR,,BKN,800,,OVC,4000,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF UWWW 050750Z 0509/0609 28006G13MPS 9999 SCT016 TX27/0509Z TN14/0601Z TEMPO 0509/0520 VRB22MPS 0500 +TSRAGR SQ BKN010CB BECMG 0520/0521 32006G13MPS,UWWW,2025-07-05T07:50:00Z,2025-07-05T07:50:00Z,2025-07-05T09:00:00Z,2025-07-06T09:00:00Z,,53.509,50.163,124,2025-07-05T09:00:00Z,2025-07-05T20:00:00Z,,,,280,12,25,,,,6+,,,,,SCT,1600,,,,,,,,,,,,,,,,,,,,2025-07-05T09:00:00Z,2025-07-05T20:00:00Z,TEMPO,,,VRB,43,,,,,0.31,,,+TSRA +TSGR SQ,,BKN,1000,CB,,,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T09:00:00Z,BECMG,1751749200,,320,12,25,,,,6+,,,,,SCT,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
